problem_id,lesson_id,lesson_title,module,topic,source_order,original_number,kind,section,note_path,solution_note,status,source_pdf_name,source_pdf,source_pdf_uri
1-1-1,1-1,基本不等式,基本不等式,基本不等式,1,1,讲义,(一) 通法,01_题目/1_基本不等式/1-1_基本不等式/1-1-1.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-1_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-2,1-1,基本不等式,基本不等式,基本不等式,2,2,讲义,(一) 通法,01_题目/1_基本不等式/1-1_基本不等式/1-1-2.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-2_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-3,1-1,基本不等式,基本不等式,基本不等式,3,3,讲义,(一) 通法,01_题目/1_基本不等式/1-1_基本不等式/1-1-3.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-3_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-4,1-1,基本不等式,基本不等式,基本不等式,4,4,讲义,(一) 通法,01_题目/1_基本不等式/1-1_基本不等式/1-1-4.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-4_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-5,1-1,基本不等式,基本不等式,基本不等式,5,5,讲义,(二) 变式,01_题目/1_基本不等式/1-1_基本不等式/1-1-5.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-5_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-6,1-1,基本不等式,基本不等式,基本不等式,6,6,讲义,(二) 变式,01_题目/1_基本不等式/1-1_基本不等式/1-1-6.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-6_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-7,1-1,基本不等式,基本不等式,基本不等式,7,7,讲义,(二) 变式,01_题目/1_基本不等式/1-1_基本不等式/1-1-7.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-7_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-8,1-1,基本不等式,基本不等式,基本不等式,8,8,讲义,(二) 变式,01_题目/1_基本不等式/1-1_基本不等式/1-1-8.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-8_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-9,1-1,基本不等式,基本不等式,基本不等式,9,9,讲义,(二) 变式,01_题目/1_基本不等式/1-1_基本不等式/1-1-9.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-9_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-10,1-1,基本不等式,基本不等式,基本不等式,10,10,讲义,(二) 变式,01_题目/1_基本不等式/1-1_基本不等式/1-1-10.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-10_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-11,1-1,基本不等式,基本不等式,基本不等式,11,11,讲义,(二) 变式,01_题目/1_基本不等式/1-1_基本不等式/1-1-11.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-11_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
1-1-12,1-1,基本不等式,基本不等式,基本不等式,12,1,讲义,三、补充知识,01_题目/1_基本不等式/1-1_基本不等式/1-1-12.md,02_我的解答/1_基本不等式/1-1_基本不等式/1-1-12_我的解答.md,todo,1-1基本不等式-讲义.pdf,C:\Users\lucky12345\Documents\高中数学复习\分类版\01_学生版-讲义\1-1基本不等式-讲义.pdf,file:///C:/Users/lucky12345/Documents/%E9%AB%98%E4%B8%AD%E6%95%B0%E5%AD%A6%E5%A4%8D%E4%B9%A0/%E5%88%86%E7%B1%BB%E7%89%88/01_%E5%AD%A6%E7%94%9F%E7%89%88-%E8%AE%B2%E4%B9%89/1-1%E5%9F%BA%E6%9C%AC%E4%B8%8D%E7%AD%89%E5%BC%8F-%E8%AE%B2%E4%B9%89.pdf
